rank,searchTerm,source,name,address,city,state,zip,phone,website,rating,reviews,category,placeUrl
11,Dentists near Los Angeles CA,Google Maps,Venice Crossroads Dental,"8985 Venice Blvd. a5, Los Angeles, CA 90034",Los Angeles,CA,90034,,https://www.venicecrossroadsdental.com/,4.8,,"Venice Crossroads Dental
4.8
(36)
Dentist·",https://www.google.com/maps/place/Venice+Crossroads+Dental/data=!4m7!3m6!1s0x80c2ba2a78a18e59:0x9453dc31f2abdc85!8m2!3d34.027983!4d-118.3929863!16s%2Fg%2F11dxbx1lkv!19sChIJWY6heCq6woARhdyr8jHcU5Q?authuser=0&hl=en&rclk=1
12,Dentists near Los Angeles CA,Google Maps,Dental Emergency Los Angeles Dr. King,"3791 S Centinela Ave, Los Angeles, CA 90066",Los Angeles,CA,90066,,https://emergencydentist.la/,4.4,,Dental Emergency Los Angeles Dr. King,https://www.google.com/maps/place/Dental+Emergency+Los+Angeles+Dr.+King/data=!4m7!3m6!1s0x80c2ba5ea42479ff:0x70ba61b41c75a277!8m2!3d34.0040865!4d-118.4341994!16s%2Fg%2F1pzx8z735!19sChIJ_3kkpF66woARd6J1HLRhunA?authuser=0&hl=en&rclk=1
13,Dentists near Los Angeles CA,Google Maps,Link Dental Excellence,"10826 Venice Blvd. #101, Culver City, CA 90232",Culver City,CA,90232,,https://linkdentalcenter.com/,4.8,,"Link Dental Excellence
4.8
(135)
Dentist·",https://www.google.com/maps/place/Link+Dental+Excellence/data=!4m7!3m6!1s0x80c2ba30a524bfef:0x28eb940bbda53889!8m2!3d34.0169378!4d-118.4095372!16s%2Fg%2F11b67ff1r6!19sChIJ778kpTC6woARiTilvQuU6yg?authuser=0&hl=en&rclk=1
14,Dentists near Los Angeles CA,Google Maps,L.A. Smiles Dentistry,"5010 S La Brea Ave, Los Angeles, CA 90056",Los Angeles,CA,90056,,http://www.lasmiledentistry.com/,4.6,,L.A. Smiles Dentistry,https://www.google.com/maps/place/L.A.+Smiles+Dentistry/data=!4m7!3m6!1s0x80c2b762d3d9898d:0xfb8383fcb42ba743!8m2!3d33.996337!4d-118.357888!16s%2Fg%2F1tjdl_r6!19sChIJjYnZ02K3woARQ6crtPyDg_s?authuser=0&hl=en&rclk=1
15,Dentists near Los Angeles CA,Google Maps,Assure Dental of Culver City,"5795 Washington Blvd, Culver City, CA 90232",Culver City,CA,90232,,https://assuredentalcare.com/,4.4,,Assure Dental of Culver City,https://www.google.com/maps/place/Assure+Dental+of+Culver+City/data=!4m7!3m6!1s0x80c2b99fa2cf11cb:0x3dbe32c8e9ab0ff7!8m2!3d34.034104!4d-118.3711247!16s%2Fg%2F11b75gz_j1!19sChIJyxHPop-5woAR9w-r6cgyvj0?authuser=0&hl=en&rclk=1
16,Dentists near Los Angeles CA,Google Maps,Happy Smiles Dental,"1655 S Western Ave Suite C, Los Angeles, CA 90006",Los Angeles,CA,90006,,https://happysmilesla.com/en/,4.9,,"Happy Smiles Dental
4.9
(1,649)
Dentist·",https://www.google.com/maps/place/Happy+Smiles+Dental/data=!4m7!3m6!1s0x80c2b93daeb2d383:0x4946d04389d681a8!8m2!3d34.0429157!4d-118.3101701!16s%2Fg%2F11gjp74pk3!19sChIJg9Oyrj25woARqIHWiUPQRkk?authuser=0&hl=en&rclk=1
17,Dentists near Los Angeles CA,Google Maps,"George D. Lim, DMD Inc. Dentistry & Orthodontics","11725 Washington Blvd, Los Angeles, CA 90066",Los Angeles,CA,90066,,http://www.georgelimdental.com/,4.7,,"4.7
(169)
Dentist","https://www.google.com/maps/place/George+D.+Lim,+DMD+Inc.+Dentistry+%26+Orthodontics/data=!4m7!3m6!1s0x80c2ba6b728ef0bd:0x342de1d32826fafb!8m2!3d33.9997468!4d-118.4184849!16s%2Fg%2F1thw6_dm!19sChIJvfCOcmu6woAR-_omKNPhLTQ?authuser=0&hl=en&rclk=1"
18,Dentists near Los Angeles CA,Google Maps,Vision Dental,"10700 Santa Monica Blvd Ste 100, Los Angeles, CA 90025",Los Angeles,CA,90025,,https://www.visiondental.com/,4.9,,"Vision Dental
4.9
(214)
Orthodontist·",https://www.google.com/maps/place/Vision+Dental/data=!4m7!3m6!1s0x80c2bb9b3334ddc7:0x101734ebd7827d69!8m2!3d34.0513617!4d-118.4324255!16s%2Fg%2F1pp2v03fh!19sChIJx900M5u7woARaX2C1-s0FxA?authuser=0&hl=en&rclk=1
19,Dentists near Los Angeles CA,Google Maps,Dentistry & Orthodontics,"9201 Venice Blvd., Los Angeles, CA 90034",Los Angeles,CA,90034,,,4.8,,"Dentistry & Orthodontics
4.8
(209)
Dentist·",https://www.google.com/maps/place/Dentistry+%26+Orthodontics/data=!4m7!3m6!1s0x80c2bb7e60f10409:0x16b9c7ab02a9b074!8m2!3d34.026724!4d-118.393855!16s%2Fg%2F11jmysm5xd!19sChIJCQTxYH67woARdLCpAqvHuRY?authuser=0&hl=en&rclk=1
20,Dentists near Los Angeles CA,Google Maps,Smile Comfort Dental and Implant Center,"9702 Venice Blvd. # A, Culver City, CA 90232",Culver City,CA,90232,,http://www.smilecomfortdental.net/,2.9,,Smile Comfort Dental and Implant Center,https://www.google.com/maps/place/Smile+Comfort+Dental+and+Implant+Center/data=!4m7!3m6!1s0x80c2ba2965b4230f:0x870b66fd8d5c1ba6!8m2!3d34.0240407!4d-118.3968481!16s%2Fg%2F11btsvyzgf!19sChIJDyO0ZSm6woARphtcjf1mC4c?authuser=0&hl=en&rclk=1
21,Dentists near Los Angeles CA,Google Maps,McComb Orthodontics,"11058 Washington Blvd, Culver City, CA 90232",Culver City,CA,90232,,https://mccomborthodontics.com/culver-city/,5.0,,"McComb Orthodontics
5.0
(267)
Orthodontist·",https://www.google.com/maps/place/McComb+Orthodontics/data=!4m7!3m6!1s0x80c2ba3ebc02ec87:0x8316240625ba0478!8m2!3d34.009715!4d-118.411382!16s%2Fg%2F11bxflqnb1!19sChIJh-wCvD66woAReAS6JQYkFoM?authuser=0&hl=en&rclk=1
22,Dentists near Los Angeles CA,Google Maps,Culver City Orthodontics - Dr. Fell & Dr. Borenstein,"10811 Washington Blvd #200, Culver City, CA 90232",Culver City,CA,90232,,http://www.culverortho.com/,4.9,,"4.9
(296)
Dentist·",https://www.google.com/maps/place/Culver+City+Orthodontics+-+Dr.+Fell+%26+Dr.+Borenstein/data=!4m7!3m6!1s0x80c2ba3a5f3b864d:0x790414c4fcd4e900!8m2!3d34.015301!4d-118.407549!16s%2Fg%2F1tdpry84!19sChIJTYY7Xzq6woARAOnU_MQUBHk?authuser=0&hl=en&rclk=1
23,Dentists near Los Angeles CA,Google Maps,Pearl Dental Culver City,"11955 Washington Blvd #106, Los Angeles, CA 90066",Los Angeles,CA,90066,,https://www.pearldentalla.com/locations/culver-city/,4.8,,"Pearl Dental Culver City
4.8
(389)
Dentist·",https://www.google.com/maps/place/Pearl+Dental+Culver+City/data=!4m7!3m6!1s0x80c2ba6bf9b52d11:0x553fc8163db73bf8!8m2!3d33.9979366!4d-118.4211532!16s%2Fg%2F11bzyyr7bv!19sChIJES21-Wu6woAR-Du3PRbIP1U?authuser=0&hl=en&rclk=1
